Date,Open,High,Low,Close,5,6
2021-09-14T10:55:00+0530,110.95,112.5,104.8,109.3,177500,2088450
2021-09-14T11:00:00+0530,108.75,112.6,104.5,110.9,194375,2090225
2021-09-14T11:05:00+0530,110.25,117.05,109,111.05,267775,2080600
2021-09-14T11:10:00+0530,111.8,118.6,106.35,107.7,302600,2099400
2021-09-14T11:15:00+0530,107.7,108.8,102.55,106.3,259400,2111825
2021-09-14T11:20:00+0530,106.25,115,105.6,113.25,247175,2114600
2021-09-14T11:25:00+0530,113.35,118.5,111.25,116.3,482900,2122375
2021-09-14T11:30:00+0530,116,122.05,112.35,116.75,601000,2158400
2021-09-14T11:35:00+0530,116.7,126.2,116.7,121.15,571175,2179275
2021-09-14T11:40:00+0530,121.3,122.95,114.1,115.55,325975,2197225
2021-09-14T11:45:00+0530,116.55,116.95,111.15,112.65,234550,2187875
2021-09-14T11:50:00+0530,112.7,115.05,109.55,114.1,224575,2204525
2021-09-14T11:55:00+0530,114.3,116.1,110.65,114.8,165475,2199400
2021-09-14T12:00:00+0530,114.85,120.65,112.55,120,206000,2203575
2021-09-14T12:05:00+0530,120.05,124.45,116.25,123,368850,2206250
2021-09-14T12:10:00+0530,122.75,126.1,119.3,124.95,401175,2197025
2021-09-14T12:15:00+0530,125.15,131.15,120.8,125.35,687675,2216025
2021-09-14T12:20:00+0530,125.35,129,122.15,123.75,477575,2342675
2021-09-14T12:25:00+0530,123.9,126.25,118.55,119.2,388200,2399375
2021-09-14T12:30:00+0530,119.3,122.25,112.55,118.9,383150,2384400
2021-09-14T12:35:00+0530,119.45,120,111.25,112,311150,2414800
2021-09-14T12:40:00+0530,112.3,118.35,111.6,118,228300,2414500
2021-09-14T12:45:00+0530,118.25,121.8,105.3,110.7,480050,2415925
2021-09-14T12:50:00+0530,110.3,121,109.15,121,370025,2455850
2021-09-14T12:55:00+0530,121.3,126.4,120.15,124.6,700700,2431175
2021-09-14T13:00:00+0530,125.1,199.2,123.7,171.95,2035700,2433700
2021-09-14T13:05:00+0530,171.25,179.5,148,155.05,1262950,2239625
2021-09-14T13:10:00+0530,154.1,159.6,142,143.15,610000,2219625
2021-09-14T13:15:00+0530,143.35,150.55,132.2,134.6,808250,2125725
2021-09-14T13:20:00+0530,133.55,137.25,112.3,117.2,1025750,2027125
2021-09-14T13:25:00+0530,116.8,120.95,111.55,116.8,709325,2021525
2021-09-14T13:30:00+0530,116.8,122.8,113.5,122.55,434950,1947100
2021-09-14T13:35:00+0530,122.55,127,119.5,122.8,479575,1902175
2021-09-14T13:40:00+0530,124.1,128.5,121.35,124.5,402625,1885750
2021-09-14T13:45:00+0530,125,129.9,120.6,128.45,400950,1857700
2021-09-14T13:50:00+0530,127,134.55,126.25,133.6,657350,1932375
2021-09-14T13:55:00+0530,133.3,133.8,123.1,128.55,459550,1924725
2021-09-14T14:00:00+0530,128.1,129,121.4,124.3,271400,1975550
2021-09-14T14:05:00+0530,124.4,124.9,118.35,123.3,318675,1947050
2021-09-14T14:10:00+0530,123.5,124.45,118.5,121.45,262900,1957275
2021-09-14T14:15:00+0530,120.6,121,111.1,112.55,519025,1921575
2021-09-14T14:20:00+0530,112.85,116.2,107.85,115.15,537625,1896825
2021-09-14T14:25:00+0530,115.45,122.85,113.25,122.35,390275,1892600
2021-09-14T14:30:00+0530,122.95,136.3,121.75,129,715875,1870225
2021-09-14T14:35:00+0530,129.6,132.1,125.3,130.05,435650,1854625
2021-09-14T14:40:00+0530,129.6,132.6,115.1,120.4,560000,1841600
2021-09-14T14:45:00+0530,119.75,124.35,115.3,122.1,258975,1876550
2021-09-14T14:50:00+0530,122.3,127.4,118.35,122.15,247250,1872575
2021-09-14T14:55:00+0530,121.9,123.45,116.7,120.65,256450,1864525
2021-09-14T15:00:00+0530,119.3,123.85,117,121.95,258200,1842900
2021-09-14T15:05:00+0530,122,127.6,121.5,123,357000,1819600
2021-09-14T15:10:00+0530,123.45,132,122.75,130.1,510000,1783475
2021-09-14T15:15:00+0530,130.5,130.6,121.8,124.65,575650,1870925
2021-09-14T15:20:00+0530,124.65,126.85,118.6,119.35,484500,1897425
2021-09-14T15:25:00+0530,119.25,121.25,118.7,120,585825,1875100
2021-09-15T09:15:00+0530,120.05,160,119.75,147.2,2300550,2073425
2021-09-15T09:20:00+0530,147.4,158,130,139.8,1662025,2414075
2021-09-15T09:25:00+0530,139.7,147.65,135,135.75,1032175,2533675
2021-09-15T09:30:00+0530,135.6,136.8,116.9,125.75,1123750,2614850
2021-09-15T09:35:00+0530,124.55,127.3,105.75,117.35,1245600,2643875
2021-09-15T09:40:00+0530,116.15,122,111.4,119.95,597150,2696875
2021-09-15T09:45:00+0530,120.25,126.9,111.2,114.5,760175,2742900
2021-09-15T09:50:00+0530,114.55,115.5,104.5,106.05,624425,2801775
2021-09-15T09:55:00+0530,104.8,111.25,98.95,99.7,641275,2854125
2021-09-15T10:00:00+0530,98.8,103.2,85.5,87.25,1110725,2866700
2021-09-15T10:05:00+0530,86.05,90.75,83.75,88.1,926225,2930900
2021-09-15T10:10:00+0530,88.3,95,88.1,94.15,542275,2960225
2021-09-15T10:15:00+0530,93.9,93.9,85.35,87.9,619775,3000650
2021-09-15T10:20:00+0530,87.4,94.65,81.9,93.9,750875,2931650
2021-09-15T10:25:00+0530,93.8,99.8,91.55,94.5,849225,2973850
2021-09-15T10:30:00+0530,93.9,95.1,85.55,86.75,511200,3028450
2021-09-15T10:35:00+0530,86.95,90,78.2,78.25,881375,3014900
2021-09-15T10:40:00+0530,78.8,81.05,72.8,72.8,828300,2999425
2021-09-15T10:45:00+0530,73.4,81.45,72.7,78.75,631325,2995125
2021-09-15T10:50:00+0530,78.85,82,76.7,79,441025,3033125
2021-09-15T10:55:00+0530,79.05,81.45,77.25,77.4,413350,3056925
2021-09-15T11:00:00+0530,78.05,78.7,72.85,77.6,501150,3066000
2021-09-15T11:05:00+0530,77.65,78.95,75.6,76.6,316175,3048450
2021-09-15T11:10:00+0530,77,78.95,75,77.9,306250,3053600
2021-09-15T11:15:00+0530,78.05,81.8,74.75,75.45,434875,3065125
2021-09-15T11:20:00+0530,75.4,78.3,74,76,278650,3076550
2021-09-15T11:25:00+0530,76.1,76.8,73,74.65,348300,3095425
2021-09-15T11:30:00+0530,74.85,76.75,69.15,76.25,444150,3076625
2021-09-15T11:35:00+0530,75.85,76.25,71.5,72.2,293000,3086400
2021-09-15T11:40:00+0530,72.05,77.7,72.05,76.65,367100,3063225
2021-09-15T11:45:00+0530,76.3,78.65,74.6,77.6,220550,3080600
2021-09-15T11:50:00+0530,77.8,78.85,74.55,75,293850,3085600
2021-09-15T11:55:00+0530,75.1,81.55,73.6,79.4,513475,3070325
2021-09-15T12:00:00+0530,79.15,83.4,77.7,83.15,465625,3074400
2021-09-15T12:05:00+0530,83.15,86.3,80.3,80.9,633450,3043125
2021-09-15T12:10:00+0530,81.2,81.3,76.9,80.9,360100,3043025
2021-09-15T12:15:00+0530,80.9,86.1,79.6,85.3,454500,3047800
2021-09-15T12:20:00+0530,85.6,85.9,80.9,81.6,397025,3058250
2021-09-15T12:25:00+0530,81.6,82.25,76.35,76.4,400725,3061950
2021-09-15T12:30:00+0530,76.4,76.7,73,75.2,414150,3072925
2021-09-15T12:35:00+0530,74.75,78.65,74.5,77.3,344350,3072175
2021-09-15T12:40:00+0530,77.9,82.1,77.65,80.75,387400,3063475
2021-09-15T12:45:00+0530,81.1,87.2,80.75,82.35,641575,3022400
2021-09-15T12:50:00+0530,82.5,82.5,77.6,78.9,394850,3059350
2021-09-15T12:55:00+0530,78.6,80.25,74,74.85,325000,3069725
2021-09-15T13:00:00+0530,74.75,75.4,71.3,75.2,369725,3101350
2021-09-15T13:05:00+0530,75.2,76,56.5,59.7,1055300,3052725
2021-09-15T13:10:00+0530,59.4,60.55,57,59.05,872800,2976175
2021-09-15T13:15:00+0530,59,61.6,57.6,58.65,498450,2893350
2021-09-15T13:20:00+0530,58.75,62.2,58.65,61.45,413900,2882250
2021-09-15T13:25:00+0530,61.4,62.15,58,58.7,300100,2868400
2021-09-15T13:30:00+0530,58.35,58.85,52.2,52.85,576400,2867275
2021-09-15T13:35:00+0530,52.8,53.8,45.7,46,648100,2790650
2021-09-15T13:40:00+0530,46.25,47,41.15,41.5,1044250,2749125
2021-09-15T13:45:00+0530,41.5,42.8,38.65,42.4,862125,2726475
2021-09-15T13:50:00+0530,42.6,46.65,41.8,46.3,683025,2653700
2021-09-15T13:55:00+0530,46.2,46.6,43.2,45.8,447650,2614075
2021-09-15T14:00:00+0530,45.55,45.7,41.8,42.25,413525,2586125
2021-09-15T14:05:00+0530,42.15,42.35,32.25,32.95,1193575,2556300
2021-09-15T14:10:00+0530,32.9,36.5,32,32.6,833975,2527300
2021-09-15T14:15:00+0530,32.55,33.7,28.05,28.35,1310325,2463550
2021-09-15T14:20:00+0530,28.5,33,28,32.5,1058625,2459350
2021-09-15T14:25:00+0530,32.55,32.95,28.8,29,608825,2489225
2021-09-15T14:30:00+0530,28.8,29.5,26.4,28.9,858025,2430075
2021-09-15T14:35:00+0530,29.1,29.2,26.65,27.25,334775,2398925
2021-09-15T14:40:00+0530,27.25,28.3,26.8,27.2,368525,2392225
2021-09-15T14:45:00+0530,27.2,27.75,25.65,26,401000,2362600
2021-09-15T14:50:00+0530,26.05,26.05,23.45,25.45,557825,2348600
2021-09-15T14:55:00+0530,25.5,26.7,24.95,26.55,453675,2309450
2021-09-15T15:00:00+0530,26.7,32.5,26,31.2,1039875,2249475
2021-09-15T15:05:00+0530,31.25,33.7,30.15,32.75,1077900,2299325
2021-09-15T15:10:00+0530,32.8,35.4,32.15,32.65,766575,2252850
2021-09-15T15:15:00+0530,32.55,32.65,26.05,26.35,924775,2035700
2021-09-15T15:20:00+0530,26.4,32.3,26.35,31.7,657000,1994600
2021-09-15T15:25:00+0530,32.1,32.1,21.55,26.35,874375,1862925
